label,params
import,functionPath
.path.ToHsym,path
.path.ToString,path
.path.IsDir,path
.path.MkDir,path
.path.IsFile,path
.path.Exists,path
.path.Remove,path
.path.Walk,path
.path.Glob,path;pattern
.path.Home,
.path.Cwd,
.path.GetRealPath,path
.path.JoinPath,path;subPaths
.path.GetRelativePath,pathFunc
.log.Debug,anyMsg
.log.Info,anyMsg
.log.Warning,anyMsg
.log.Error,anyMsg
.log.SetStdLogFile,filepath
.log.SetErrLogFile,filepath
.log.SetConsoleSize,consoleSize
.log.SetDatetimeShortcut,shortcut
.log.SetLogFormatType,formatType
.log.SetJsonHeader,header
.log.SetLogLevel,level
.cli.SetName,cliName
.cli.Parse,
.cli.Selection,name;selections;description
.cli.String,name;defaultValue;description
.cli.Boolean,name;defaultValue;description
.cli.Float,name;defaultValue;description
.cli.Long,name;defaultValue;description
.cli.Int,name;defaultValue;description
.cli.Date,name;defaultValue;description
.cli.Datetime,name;defaultValue;description
.cli.Minute,name;defaultValue;description
.cli.Second,name;defaultValue;description
.cli.Time,name;defaultValue;description
.cli.Timestamp,name;defaultValue;description
.cli.Symbol,name;defaultValue;description
.cli.Booleans,name;defaultValue;description
.cli.Floats,name;defaultValue;description
.cli.Longs,name;defaultValue;description
.cli.Ints,name;defaultValue;description
.cli.Dates,name;defaultValue;description
.cli.Datetimes,name;defaultValue;description
.cli.Minutes,name;defaultValue;description
.cli.Seconds,name;defaultValue;description
.cli.Times,name;defaultValue;description
.cli.Timestamps,name;defaultValue;description
.cli.Symbols,name;defaultValue;description
.kest.BeforeAll,function
.kest.AfterAll,function
.kest.BeforeEach,function
.kest.AfterEach,function
.kest.Test,description;function
.kest.ToThrowAs,functionCall;errorPattern
.kest.MatchPattern,pattern;actual
.kest.ToThrow,functionCall;errorMsg
.kest.Match,expect;actual
.kest.MatchTable,expectTable;actualTable
.kest.MatchDict,expectDict;actualDict
.timer.SetInterval,ms
.timer.AddJob,functionCall;startTime;endTime;interval;description
.timer.AddJobAtTime,functionCall;startTime;description
.timer.AddJobAfter,functionCall;interval;description
.timer.GetJobs,
.timer.GetJobsByDescription,pattern
.timer.ActivateJobs,jobId
.timer.DeactivateJobs,jobId
.timer.ActivateJobsByDescription,pattern
.timer.DeactivateJobsByDescription,pattern
.timer.Start,
.timer.Stop,
.timer.Clear,
.ktrl.Spawn,profile;process;isDetached;isGlobal
.ktrl.Wait,profile;process;isGlobal
.ktrl.MakeNohupLogDir,path
.ktrl.Kill,label
.ktrl.ForceKill,label
.ktrl.KillAttached,
.ktrl.Interrupt,label
.ktrl.IsRunning,label
.ktrl.GetPid,label
.ktrl.GetPort,label
.ktrl.ListInstances,
